排名,特征名称,重要性得分
1,feature_10,0.186322
2,feature_16,0.135103
3,feature_19,0.129105
4,feature_8,0.111821
5,feature_11,0.099446
6,feature_17,0.086317
7,feature_9,0.069907
8,feature_2,0.069234
9,feature_3,0.015963
10,feature_18,0.015560
11,feature_5,0.014230
12,feature_15,0.012038
13,feature_13,0.012006
14,feature_12,0.011954
15,feature_14,0.008088
16,feature_4,0.006199
17,feature_6,0.006183
18,feature_1,0.005821
19,feature_7,0.004702
