Variable,humidity
intercept,-71.426937
feature_1,10.907504
feature_2,-18.082404
feature_3,16.943726
feature_4,-187.412598
feature_5,10.970406
feature_6,10.482092
feature_7,10.626270
feature_8,-18.089157
feature_9,-17.758265
feature_10,-17.794669
feature_11,-62.511044
feature_12,0.004073
feature_13,35.226814
feature_14,-54.823528
feature_15,40.262062
feature_16,60.889091
feature_17,-64.629519
feature_18,-2.086998
feature_19,64.629519
