项目,校正集,预测集
样本数,243,61
均值,15.4288,10.5751
标准差,8.7512,6.3417
最小值,1.8300,1.8300
最大值,32.3300,23.1200
范围,30.5000,21.2900
,,
划分比例,0.8:0.19999999999999996,
划分方法,Kennard-Stone (K-S),
